custnmbr,custname,match_name_d2,dataset1_locations_list,dataset2_locations_list,overlapping_locations,confidence_score
9537087,Zumwaxx Technologies Inc.,NO MATCH,"180 Caster Ave., Woodbridge, ON, L4L5Y7",,,0.0
7425455,TX Mechanical Inc.,NO MATCH,"1010 Polytek Street, Unit 41, Ottawa, ON, K1J9J3",,,0.0
00C808D,Metuomex Xaezumg Group Inc.*,NO MATCH,"200 - 1430 Hocquart, St. Bruno, QC, J3V6E1",,,0.0
2A4F169,Teayco Xeb Equipment Systems Management Ltd.,NO MATCH,"#205 - 4288 Lozells Ave, Burnaby, BC, V5A0C7",,,0.0
80E3C2C,5085 Yomga Quebec Inc,NO MATCH,"1380 Rodick Road, Suite 410, Toronto, ON, L3R4G5",,,0.0
88FBE8D,Xobxewz Inc. (Bxeumz Road),Xobxewz Inc. (Bxeumz Road)                                       ,"# 78, Hamilton, Ontario, L8W3N1","# 78, Burlington, ON, L7T 4K1",street,100.0
0F0FEBD,Betouzza Zecta-Coaut,NO MATCH,"3765 Champlain Street, Bourget, ON, K0A1E0",,,0.0
24B9DAE,"Zympucet des Cobtobtuéteutaz 110, Chanum Ftezat",NO MATCH,"402 - 100, Chemin Fraser, Gatineau, QC, J9H7S9",,city,0.0
5CB182D,"BCC 449, The Unbatuex",NO MATCH,"30 Malta Avenue, Brampton, Ontario, L6Y4S5",,,0.0
FAA0C5E,Division 25 Plumbing,NO MATCH,"RR#2, New Lowell, ON, L0M1N0",,,0.0
0B333CB,MCO Building,MCO Building                                                     ,"c/o McCOR Management (SK) Inc., Regina, SK, S4P3X1","c/o McCOR Management (SK) Inc., Regina, SK, S4P 3X1","city, zip, street",100.0
B2D0D25,Zbac Futmututa,Zbac Futmututa                                                   ,"165 City View Drive, Toronto, ON, M9W5B1","165 City View Drive, Toronto, ON, M9W 5B1","city, zip, street",100.0
24A1FE7,Omyx Mechanical,OMYX MECHANICAL                                                  ,"214 Wilkinson Road, Brampton, ON, L6T4M4","JOB: PAN AM GAMES ATHLETIC STADIUM, BRAMPTON, ONTARIO, L6T 4M4","city, zip",100.0
7871B6F,Cete Eutxuma Solutions,NO MATCH,"2498 Britannia Road East, Mississauga, ON, L4W2P7",,,0.0
232F78C,Btanuata Plumbing,Btanuata Plumbing                                                ,"1536 Champlain Street, Dieppe, New Brunswick, E1A1R5","1536 CHAMPLAIN ST, DIEPPE, NB, E1A 1R5","city, zip, street",100.0
82BCBCE,St. Bamapuctz Church,St. Bamapuctz Church                                             ,"2194 Kipling Ave., Etobicoke, ON, M9W4K9","2194 KIPLING AVE, ETOBICOKE, ON, M9W 4K9","city, zip, street",100.0
5FB42DD,Mottak Mechanical  Services,MOTTAK MECHANICAL SERVICES                                       ,"1 Huttonville Dr., Brampton, ON, L6X0C2","30 ADELAIDE ST E, TORONTO, ON, M5C 3G8",,100.0
B252417,"CUUZZZ AZT DE X'UXA DE NTX, UMZT. UUZNN",NO MATCH,"7401, rue Hochelaga, Montréal, QC, H1N3M5",,zip,0.0
79C85A0,Nextom Village,NO MATCH,"7075 Rexwood Rd., Mississauga, ON, L4T4M1",,,0.0
262F7B7,Ambtupga Gez Inc.,Ambtupga Gez Inc.                                                ,"500 Consumers Drive, Toronto, ON, M2J1P8","500 Consumers Drive, Toronto, ON, M2J 1P8","city, zip, street",100.0
4A37FC5,Cattufuap Group of Conbemuaz,NO MATCH,"5004 Timberlea Blvd. Unit 5, Mississauga, ON, L4W5C5",,,0.0
0975774,EX Property Management Services LP c/o 425 Yomga,EX Property Management Services LP c/o 425 Yomga                 ,"415 Yonge Street, Suite 1803, Toronto, ON, M5B2E6","415 Yonge Street, Suite 1803, Toronto, ON, M5B 2E6","city, zip, street",100.0
2B6DDA5,UCC Property Management Ltd.,NO MATCH,"and Property Managers Toronto, Markham, ON, L3R3Y4",,,0.0
EE12461,Ebbtovap Coxp Ztotega Inc.,Ebbtovap Coxp Ztotega Inc.                                       ,"5100 Harvester Road, Burlington, ON, L7L4X4","5100 Harvester Road, Burlington, ON, L7L 4X4","city, zip, street",100.0
32E66C7,Q19 Matwotkz Inc.,NO MATCH,"100 Wellington St W. Suite 1000, Toronto, ON, M5K1J3",,,0.0
5844091,HCC #240,HCC #240                                                         ,"33 Alderney Drive, Suite 650, Halifax, NS, B2Y2N4","33 Alderney Drive, Suite 650, Halifax, NS, B2Y 2N4","city, zip, street",100.0
D926AEA,7037467 Canada Inc,7037467 Canada Inc                                               ,"1100, Avenue Dr. Pennfield, suite 301, Montreal, QC, H3A1A8","1100, Avenue Dr. Pennfield, suite 301, Montreal, QC, H3A 1A8","city, zip, street",100.0
2C70AEC,Exgomquum College - Banbtoka Campus,Exgomquum College - Banbtoka Campus                              ,"1 College Way, Pembroke, ON, K8A0C8","1 College Way, Pembroke, ON, K8A 0C8","city, zip, street",100.0
344B6A4,9481-7610 Québac Inc,9481-7610 Quebec Inc                                             ,"300-4150 Sherbrooke W, Westmount, QC, H3Z1B7","300-4150 Sherbrooke W, Westmount, QC, H3Z 1B7","city, zip, street",75.0
9BC8740,KTN Mechanical,NO MATCH,"9 Brookhaven Cres., Orangeville, ON, L9W2Y9",,,0.0
2EB3402,CBNU as Egamtz for Pumpez Apwetp  Centre,CBNU as Egamtz for Pumpez Apwetp Centre                          ,"90 Sheppard Ave. East, Suite 305, Toronto, ON, M2N3A1","90 Sheppard Ave. East, Suite 305, Toronto, ON, M2N 3A1","city, zip, street",100.0
A1D1E94,GWX Taexty Epvuzotz Inc.-,GWX Taexty Epvuzotz Inc.-                                        ,"Property Management Office, Toronto, ON, M5E1G4","Property Management Office, Toronto, ON, M5E 1G4","city, zip, street",100.0
4874DE4,Johmzom Comttoxz Canada LP,Johmzom Comttoxz Canada LP                                       ,"P.O. Box 2012, Milwaukee, WI, 53201","P.O. Box 2012, Milwaukee, WI, 532 01","city, zip, street",100.0
378C157,XAEZUPA,NO MATCH,"10 WILLIAM MORGAN DR., EAST YORK, ON, M4H1E7",,,0.0
AA194B6,Tuchcteft Properties,Tuchcteft Properties Ltd                                         ,"2280 St Laurent Blvd, Suite 201, Ottawa, ON, K1G4K1","2280 St Laurent Blvd, Suite 201, Ottawa, ON, K1G 4K1","city, zip, street",100.0
85DD0C0,Nejaztuc Eut Inc.,Nejaztuc Eut Inc.                                                ,"1431 Cornwall St., Regina, SK, S4R2H8","1431 CORNWALL ST, REGINA, SK, S4R 2H8","city, zip, street",100.0
7D2829D,City of Bottega La Btetua,NO MATCH,"495 11th St NW, Portage La Prarie, Manitoba, R1N4B3",,,0.0
5ECA4B9,BCC 106,BCC 106                                                           ,"2556 Argyle Rd., Mississauga, ON, L5B2H6","2556 Argyle Rd., Mississauga, ON, L5B 2H6","city, zip, street",100.0
